sideline_player_id,espn_athlete_id,player_name,position,class_year,jersey,school_id,school,school_slug,conference,nil_value_usd,nil_source,recruit_stars,sideline_overall_rank
4848631,4848631,Malik Presley,G,Junior,13,2244,George Mason,george-mason,Atlantic 10,373000,modeled,,
4703572,4703572,Kaden Metheny,G,Senior,3,2335,Liberty,liberty,Conference USA,372000,modeled,,
5105604,5105604,Kolby King,G,Senior,7,328,Utah State,utah-state,Pac-12,372000,modeled,,
5311835,5311835,Mihailo Petrovic,G,Freshman,77,356,Illinois,illinois,Big Ten,370000,modeled,,
5176112,5176112,Myles Che,G,Junior,77,2439,UNLV,unlv,Mountain West,370000,modeled,,
5106599,5106599,Javon Bennett,G,Senior,0,2168,Dayton,dayton,Atlantic 10,370000,modeled,,
5311899,5311899,Vijay Wallace,G,Junior,7,9,Arizona State,arizona-state,Big 12,369000,modeled,,
5175662,5175662,Juslin Bodo Bodo,C,Junior,21,239,Baylor,baylor,Big 12,368000,modeled,,
5079838,5079838,Blake Buchanan,F,Junior,23,66,Iowa State,iowa-state,Big 12,368000,modeled,,
5241744,5241744,Isaiah Skinner,G,Senior,2,2908,USC Upstate,usc-upstate,Big South,368000,modeled,,
4702464,4702464,Jefferson Koulibaly,G,Senior,9,290,Georgia Southern,georgia-southern,Sun Belt,367750,modeled,,
5101686,5101686,Godswill Erheriene,C,Sophomore,54,2550,Seton Hall,seton-hall,Big East,366000,modeled,,
4894460,4894460,Carter Lang,F,Sophomore,35,258,Virginia,virginia,ACC,365000,modeled,,
5176149,5176149,David Thomas,G,Junior,12,257,Richmond,richmond,Atlantic 10,365000,modeled,,
5037870,5037870,Rodney Brown Jr.,G,Junior,2,2351,Loyola Marymount,loyola-marymount,West Coast,365000,modeled,,
5242943,5242943,Max Green,G,Sophomore,10,77,Northwestern,northwestern,Big Ten,363000,modeled,,
5177731,5177731,Tanner Cuff,G,Senior,1,62,Hawaii,hawaii,Big West,363000,modeled,,
4895740,4895740,Josh Hubbard,G,Junior,12,344,Mississippi State,mississippi-state,SEC,362000,modeled,,
5105618,5105618,Quante Berry,G,Junior,0,235,Memphis,memphis,American,362000,modeled,,
5312059,5312059,Vincent Neugebauer,C,Junior,8,2226,Florida Atlantic,florida-atlantic,Conference USA,362000,modeled,,
5176312,5176312,Demarion Burch,G,Junior,0,71,Bradley,bradley,Missouri Valley,362000,modeled,,
5107997,5107997,JaVaughn Hannah,G,Senior,2,23,San Jose State,san-jose-state,Mountain West,360250,modeled,,
5107153,5107153,Kaleb Smith,F,Junior,22,2253,Grand Canyon,grand-canyon,Mountain West,360250,modeled,3.0,
5312035,5312035,Omer Mayer,G,Freshman,17,2509,Purdue,purdue,Big Ten,359000,modeled,,
5037875,5037875,Tyrone Riley IV,G,Sophomore,5,2539,San Francisco,san-francisco,West Coast,359000,modeled,,
5312019,5312019,Wei Lin,G,Sophomore,23,2483,Oregon,oregon,Big Ten,357000,modeled,,
5176734,5176734,Myles Rigsby,G,Junior,4,202,Tulsa,tulsa,American,357000,modeled,,
5311887,5311887,Cayden Charles,G,Senior,24,179,Saint Bonaventure,saint-bonaventure,Atlantic 10,357000,modeled,,
5176209,5176209,Jaylen Smith,G,Junior,4,2193,East Tennessee State,east-tennessee-state,SoCon,357000,modeled,3.0,
5176418,5176418,Jeremy Lorenz,F,Junior,32,305,DePaul,depaul,Big East,356000,modeled,,
5312050,5312050,Corey Caulker,G,Junior,5,151,East Carolina,east-carolina,American,355000,modeled,,
5105780,5105780,Justin Moore,G,Junior,1,2350,Loyola Chicago,loyola-chicago,Atlantic 10,355000,modeled,,
